component,substring
MMSE,mmse
MMSE,mini mental
MMSE,mini-mental
Cranial nerves,cn 2-12
Cranial nerves,cn 2 - 12
Cranial nerves,cn 2 to 12
Cranial nerves,cn 2 through 12
Cranial nerves,cn 2 thru 12
Cranial nerves,cn II-XII
Cranial nerves,cn II - XII
Cranial nerves,cn II to XII
Cranial nerves,cn II through XII
Cranial nerves,cn II thru XII
Cranial nerves,perrl
Cranial nerves,eomi
Cranial nerves,cranial nerve
Cranial nerves,dysarthria
Cranial nerves,cnii
Nystagmus,nystagmus
Motor,strength 5/5
Motor,pronator drift
Motor,motor
Sensory,vibration
Sensory,proprio
Sensory,light touch
Sensory,sensory
Sensory,sensation
Reflex,DTR
Reflex,reflex
Reflex,babinski
Coordination,FNF
Coordination,HKS
Coordination,cerebell
Coordination,coordination
Coordination,dysdiadochokinesia
Coordination,dysmetria
Coordination,ataxia
Coordination,finger to nose
Coordination,finger-to-nose
Coordination,finger nose finger
Coordination,finger-nose-finger
Gait,gait
Gait,tandem
Gait,romberg
Dix-Hallpike,hallpike
HINTS,hints
HINTS,head impulse